year,area,area_name,racecomp,ssh_dpa
2024,50,Vermont,Black,-.3014878562025102
2024,50,Vermont,Hispanic,-.0676648738798089
2024,50,Vermont,Asian,-.2460281282515288
2024,50,Vermont,Other,-.3315833486506057
2024,51,Virginia,Total,-.15119667445114
2024,51,Virginia,White,-.1465203486850456
2024,51,Virginia,Black,-.1737402659897519
2024,51,Virginia,Hispanic,-.1702984360904656
2024,51,Virginia,Asian,-.1322812975480618
2024,51,Virginia,Other,-.1385865917419042
2024,53,Washington,Total,-.1964020424058482
2024,53,Washington,White,-.1955158457083314
2024,53,Washington,Black,-.2604653409079412
2024,53,Washington,Hispanic,-.2465161747750949
2024,53,Washington,Asian,-.1510979321868122
2024,53,Washington,Other,-.1923026272438559
2024,54,West Virginia,Total,-.1097351308135226
2024,54,West Virginia,White,-.110836112645368
2024,54,West Virginia,Black,-.0833557560177436
2024,54,West Virginia,Hispanic,-.0833848415116279
2024,54,West Virginia,Asian,-.0771400879103195
2024,54,West Virginia,Other,-.1182811163428627
2024,55,Wisconsin,Total,-.2064426611385635
2024,55,Wisconsin,White,-.2109546474864668
2024,55,Wisconsin,Black,-.2022550142157707
2024,55,Wisconsin,Hispanic,-.1859044867282835
2024,55,Wisconsin,Asian,-.0910535516833636
2024,55,Wisconsin,Other,-.2107678021541576
2024,56,Wyoming,Total,-.1679820591271788
2024,56,Wyoming,White,-.1626406065224036
2024,56,Wyoming,Black,-.154272721257253
2024,56,Wyoming,Hispanic,-.1903634349840206
2024,56,Wyoming,Asian,-.3369453412220871
2024,56,Wyoming,Other,-.2005863031376653
