year,area,area_name,racecomp,xtype,hp
2024,18,Indiana,Other,Share of all households,.036398701
2024,18,Indiana,Other,Difference (% pts.),.0044255108
2024,19,Iowa,White,Share of struggling households,.80618382
2024,19,Iowa,White,Share of all households,.85948271
2024,19,Iowa,White,Difference (% pts.),-.053298891
2024,19,Iowa,Black,Share of struggling households,.054092564
2024,19,Iowa,Black,Share of all households,.032775298
2024,19,Iowa,Black,Difference (% pts.),.021317266
2024,19,Iowa,Hispanic,Share of struggling households,.07449799
2024,19,Iowa,Hispanic,Share of all households,.053981334
2024,19,Iowa,Hispanic,Difference (% pts.),.020516656
2024,19,Iowa,Asian,Share of struggling households,.023653381
2024,19,Iowa,Asian,Share of all households,.021754405
2024,19,Iowa,Asian,Difference (% pts.),.001898976
2024,19,Iowa,Other,Share of struggling households,.04157231
2024,19,Iowa,Other,Share of all households,.03200623
2024,19,Iowa,Other,Difference (% pts.),.0095660798
2024,20,Kansas,White,Share of struggling households,.7071014
2024,20,Kansas,White,Share of all households,.77099776
2024,20,Kansas,White,Difference (% pts.),-.063896358
2024,20,Kansas,Black,Share of struggling households,.076200686
2024,20,Kansas,Black,Share of all households,.050352208
2024,20,Kansas,Black,Difference (% pts.),.025848478
2024,20,Kansas,Hispanic,Share of struggling households,.13279168
2024,20,Kansas,Hispanic,Share of all households,.10057403
2024,20,Kansas,Hispanic,Difference (% pts.),.032217652
2024,20,Kansas,Asian,Share of struggling households,.029980414
2024,20,Kansas,Asian,Share of all households,.029170377
2024,20,Kansas,Asian,Difference (% pts.),.00081003644
2024,20,Kansas,Other,Share of struggling households,.053925782
2024,20,Kansas,Other,Share of all households,.048905611
2024,20,Kansas,Other,Difference (% pts.),.0050201714
2024,21,Kentucky,White,Share of struggling households,.80413026
2024,21,Kentucky,White,Share of all households,.83808166
2024,21,Kentucky,White,Difference (% pts.),-.033951402
2024,21,Kentucky,Black,Share of struggling households,.087669455
2024,21,Kentucky,Black,Share of all households,.066694841
2024,21,Kentucky,Black,Difference (% pts.),.020974614
2024,21,Kentucky,Hispanic,Share of struggling households,.050919082
2024,21,Kentucky,Hispanic,Share of all households,.038870029
2024,21,Kentucky,Hispanic,Difference (% pts.),.012049053
2024,21,Kentucky,Asian,Share of struggling households,.013309984
2024,21,Kentucky,Asian,Share of all households,.015288947
2024,21,Kentucky,Asian,Difference (% pts.),-.0019789636
2024,21,Kentucky,Other,Share of struggling households,.043971196
2024,21,Kentucky,Other,Share of all households,.041064497
2024,21,Kentucky,Other,Difference (% pts.),.0029066987
2024,22,Louisiana,White,Share of struggling households,.48417726
2024,22,Louisiana,White,Share of all households,.58443743
2024,22,Louisiana,White,Difference (% pts.),-.10026017
2024,22,Louisiana,Black,Share of struggling households,.39128581
2024,22,Louisiana,Black,Share of all households,.30089596
2024,22,Louisiana,Black,Difference (% pts.),.090389848
2024,22,Louisiana,Hispanic,Share of struggling households,.068401657
2024,22,Louisiana,Hispanic,Share of all households,.060566574
2024,22,Louisiana,Hispanic,Difference (% pts.),.0078350827
2024,22,Louisiana,Asian,Share of struggling households,.015998149
2024,22,Louisiana,Asian,Share of all households,.015540638
2024,22,Louisiana,Asian,Difference (% pts.),.00045751128
2024,22,Louisiana,Other,Share of struggling households,.040137134
2024,22,Louisiana,Other,Share of all households,.038559366
2024,22,Louisiana,Other,Difference (% pts.),.0015777685
2024,23,Maine,White,Share of struggling households,.90490669
2024,23,Maine,White,Share of all households,.9174791
2024,23,Maine,White,Difference (% pts.),-.012572408
2024,23,Maine,Black,Share of struggling households,.015973076
2024,23,Maine,Black,Share of all households,.011123893
2024,23,Maine,Black,Difference (% pts.),.0048491834
2024,23,Maine,Hispanic,Share of struggling households,.021788338
2024,23,Maine,Hispanic,Share of all households,.016735744
2024,23,Maine,Hispanic,Difference (% pts.),.0050525945
2024,23,Maine,Asian,Share of struggling households,.011070876
2024,23,Maine,Asian,Share of all households,.0092624994
